iter	Passed	Remaining
0	106	106074
1	108	54158
2	110	36666
3	112	27989
4	114	22853
5	116	19341
6	118	16839
7	120	14961
8	123	13546
9	124	12332
10	126	11330
11	128	10544
12	129	9841
13	130	9221
14	132	8681
15	133	8211
16	135	7829
17	136	7460
18	137	7112
19	138	6797
20	139	6513
21	140	6255
22	142	6058
23	143	5852
24	144	5646
25	145	5457
26	146	5282
27	147	5118
28	148	4963
29	149	4819
30	149	4684
31	150	4557
32	151	4439
33	152	4325
34	153	4221
35	153	4121
36	154	4027
37	155	3940
38	157	3892
39	159	3816
40	159	3741
41	160	3669
42	161	3603
43	163	3552
44	164	3489
45	165	3426
46	166	3365
47	166	3307
48	167	3252
49	168	3199
50	169	3149
51	170	3101
52	171	3068
53	173	3031
54	173	2987
55	174	2946
56	175	2904
57	176	2865
58	177	2826
59	177	2788
60	178	2751
61	179	2716
62	180	2682
63	181	2649
64	181	2617
65	182	2587
66	183	2557
67	184	2523
68	185	2496
69	187	2484
70	187	2459
71	188	2435
72	189	2410
73	190	2385
74	191	2362
75	193	2350
76	195	2338
77	196	2317
78	196	2294
79	197	2272
80	198	2250
81	199	2229
82	200	2209
83	201	2198
84	202	2180
85	203	2161
86	203	2140
87	204	2121
88	205	2103
89	206	2086
90	207	2069
91	208	2053
92	208	2037
93	209	2021
94	210	2005
95	211	1989
96	212	1974
97	212	1959
98	213	1945
99	214	1933
100	216	1930
101	217	1915
102	218	1901
103	219	1887
104	219	1874
105	220	1862
106	221	1850
107	222	1837
108	223	1825
109	224	1813
110	224	1801
111	225	1789
112	226	1777
113	227	1767
114	228	1756
115	228	1744
116	230	1735
117	232	1734
118	232	1722
119	233	1712
120	234	1703
121	235	1693
122	235	1680
123	236	1671
124	237	1661
125	238	1652
126	239	1643
127	239	1631
128	240	1622
129	241	1614
130	242	1605
131	242	1596
132	243	1588
133	244	1582
134	246	1578
135	247	1571
136	248	1564
137	248	1555
138	249	1547
139	250	1539
140	251	1531
141	252	1523
142	252	1515
143	253	1508
144	254	1501
145	255	1493
146	256	1486
147	256	1479
148	257	1472
149	258	1465
150	259	1460
151	261	1456
152	262	1451
153	262	1444
154	263	1437
155	264	1431
156	265	1424
157	266	1418
158	267	1412
159	267	1406
160	268	1399
161	269	1393
162	270	1387
163	271	1381
164	271	1376
165	272	1370
166	273	1366
167	275	1362
168	276	1358
169	277	1352
170	277	1346
171	278	1341
172	279	1335
173	280	1330
174	281	1325
175	281	1319
176	282	1314
177	283	1309
178	284	1304
179	285	1298
180	285	1292
181	286	1287
182	287	1282
183	288	1277
184	289	1275
185	290	1271
186	291	1266
187	292	1262
188	293	1259
189	294	1254
190	295	1250
191	295	1245
192	296	1240
193	297	1236
194	298	1231
195	299	1227
196	300	1222
197	300	1218
198	301	1213
199	302	1209
200	303	1205
201	304	1202
202	305	1198
203	306	1194
204	307	1191
205	308	1187
206	309	1183
207	310	1180
208	310	1176
209	311	1173
210	312	1169
211	313	1165
212	314	1161
213	315	1158
214	316	1154
215	316	1150
216	318	1147
217	318	1144
218	319	1140
219	320	1136
220	321	1132
221	322	1128
222	322	1125
223	323	1121
224	324	1117
225	325	1114
226	326	1110
227	326	1107
228	327	1103
229	328	1100
230	329	1096
231	330	1093
232	331	1089
233	331	1086
234	332	1083
235	333	1080
236	334	1076
237	335	1073
238	336	1070
239	336	1066
240	337	1063
241	338	1060
242	339	1057
243	340	1054
244	341	1051
245	341	1047
246	342	1044
247	343	1041
248	344	1038
249	345	1035
250	346	1032
251	346	1029
252	347	1026
253	348	1023
254	349	1020
255	350	1017
256	350	1014
257	351	1011
258	352	1008
259	353	1005
260	354	1003
261	355	1000
262	355	997
263	356	994
264	357	991
265	358	989
266	359	986
267	360	983
268	360	980
269	362	979
270	363	976
271	363	974
272	364	971
273	365	968
274	366	966
275	367	963
276	368	960
277	368	958
278	369	955
279	370	953
280	371	950
281	372	947
282	373	945
283	373	942
284	374	940
285	375	937
286	376	935
287	377	932
288	378	930
289	379	927
290	379	925
291	380	922
292	381	920
293	382	917
294	383	915
295	383	913
296	384	910
297	385	908
298	386	905
299	387	903
300	387	900
301	388	898
302	389	896
303	390	894
304	391	891
305	392	889
306	393	887
307	394	885
308	394	883
309	395	881
310	396	879
311	398	877
312	399	876
313	399	873
